#!,Workbook:,Custom,Custom,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,
nan, nan,3.017,12.15,44.02,,
nan, nan,3.009,12.15,44.02,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.993,12.18,47.41,,
nan, nan,3.009,12.15,43.45,,
nan, nan,3.033,12.15,44.02,,
nan, nan,3.025,12.16,44.58,,
nan, nan,3.025,12.15,44.02,,
nan, nan,3.033,12.15,43.45,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.001,12.17,45.71,,
nan, nan,3.009,12.16,44.58,,
nan, nan,3.05,12.15,43.45,,
nan, nan,3.041,12.17,45.71,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.05,12.14,42.89,,
nan, nan,3.05,12.15,43.45,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.05,12.16,45.15,,
nan, nan,2.993,12.17,46.84,,
nan, nan,2.985,12.18,47.41,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.993,12.15,44.02,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.025,12.17,46.28,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.001,12.18,47.41,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.977,12.18,47.97,,
nan, nan,2.969,12.17,45.71,,
nan, nan,3.001,12.16,45.15,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.025,12.12,40.62,,
nan, nan,3.025,12.14,42.32,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.977,12.17,45.71,,
nan, nan,3.001,12.16,45.15,,
nan, nan,3.009,12.16,44.58,,
nan, nan,2.977,12.16,44.58,,
nan, nan,3.058,12.14,42.89,,
nan, nan,3.041,12.17,46.84,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.025,12.15,43.45,,
nan, nan,2.977,12.17,46.84,,
nan, nan,2.977,12.19,49.1,,
nan, nan,2.969,12.16,45.15,,
nan, nan,2.977,12.17,46.84,,
nan, nan,2.985,12.17,46.84,,
nan, nan,3.05,12.14,42.32,,
nan, nan,3.041,12.15,44.02,,
nan, nan,3.058,12.12,40.62,,
nan, nan,3.041,12.13,41.75,,
nan, nan,3.009,12.17,45.71,,
nan, nan,3.017,12.17,45.71,,
nan, nan,3.058,12.14,42.32,,
nan, nan,3.05,12.13,41.19,,
nan, nan,3.041,12.12,40.62,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.001,12.14,42.89,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.009,12.18,47.41,,
nan, nan,3.001,12.16,45.15,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.058,12.13,41.19,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.001,12.16,45.15,,
nan, nan,2.993,12.17,46.84,,
nan, nan,3.001,12.18,47.41,,
nan, nan,3.041,12.13,41.19,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.05,12.16,44.58,,
nan, nan,3.025,12.15,43.45,,
nan, nan,3.033,12.16,44.58,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.985,12.18,47.41,,
nan, nan,2.993,12.17,45.71,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.025,12.15,44.02,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.041,12.15,44.02,,
nan, nan,3.025,12.14,42.89,,
nan, nan,2.985,12.18,47.97,,
nan, nan,3.001,12.13,41.19,,
nan, nan,2.985,12.17,46.84,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.001,12.15,44.02,,
nan, nan,3.058,12.14,42.89,,
nan, nan,3.058,12.15,43.45,,
nan, nan,3.05,12.14,42.89,,
nan, nan,3.025,12.14,42.32,,
nan, nan,2.993,12.17,45.71,,
nan, nan,2.993,12.18,47.41,,
nan, nan,3.001,12.16,44.58,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.993,12.17,46.28,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.041,12.12,40.06,,
nan, nan,2.985,12.16,44.58,,
nan, nan,3.001,12.17,46.28,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.001,12.16,44.58,,
nan, nan,3.001,12.16,44.58,,
nan, nan,3.058,12.14,42.32,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.033,12.15,43.45,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.001,12.2,49.67,,
nan, nan,3.041,12.12,40.06,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.041,12.17,45.71,,
nan, nan,3.001,12.15,44.02,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.985,12.16,45.15,,
nan, nan,3.009,12.18,47.41,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.05,12.12,40.62,,
nan, nan,3.05,12.14,42.32,,
nan, nan,3.001,12.15,44.02,,
nan, nan,2.985,12.18,47.41,,
nan, nan,3.009,12.16,44.58,,
nan, nan,3.058,12.14,42.32,,
nan, nan,2.993,12.19,48.54,,
nan, nan,3.05,12.12,40.62,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.041,12.12,40.62,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.985,12.17,46.84,,
nan, nan,3.009,12.15,43.45,,
nan, nan,3.001,12.17,46.84,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.058,12.12,40.06,,
nan, nan,3.05,12.15,43.45,,
nan, nan,3.041,12.14,42.89,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.001,12.16,45.15,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.985,12.17,45.71,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.15,44.02,,
nan, nan,3.05,12.13,41.19,,
nan, nan,2.993,12.18,47.41,,
nan, nan,3.001,12.17,45.71,,
nan, nan,2.993,12.15,43.45,,
nan, nan,3.009,12.17,46.84,,
nan, nan,2.977,12.17,46.84,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.05,12.22,52.49,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.025,12.15,43.45,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.985,12.17,46.84,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.985,12.16,44.58,,
nan, nan,2.993,12.19,49.1,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.033,12.15,44.02,,
nan, nan,2.993,12.18,47.97,,
nan, nan,2.985,12.15,43.45,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.041,12.15,44.02,,
nan, nan,2.993,12.17,46.28,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.985,12.18,47.97,,
nan, nan,2.985,12.16,45.15,,
nan, nan,2.977,12.17,45.71,,
nan, nan,3.033,12.17,45.71,,
nan, nan,3.025,12.15,44.02,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.033,12.14,42.32,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.993,12.15,44.02,,
nan, nan,3.001,12.17,46.84,,
nan, nan,3.017,12.13,41.75,,
nan, nan,3.009,12.17,46.84,,
nan, nan,3.05,12.16,44.58,,
nan, nan,3.025,12.15,43.45,,
nan, nan,3.041,12.13,41.75,,
nan, nan,3.033,12.15,44.02,,
nan, nan,3.041,12.14,42.89,,
nan, nan,2.993,12.17,46.84,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.001,12.16,44.58,,
nan, nan,2.993,12.17,45.71,,
nan, nan,2.993,12.17,46.28,,
nan, nan,3.041,12.13,41.75,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.13,41.19,,
nan, nan,2.985,12.17,46.84,,
nan, nan,2.985,12.16,45.15,,
nan, nan,2.993,12.14,42.32,,
nan, nan,2.985,12.16,45.15,,
nan, nan,3.009,12.17,46.28,,
nan, nan,3.041,12.12,40.62,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.033,12.15,43.45,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.993,12.17,45.71,,
nan, nan,2.993,12.15,44.02,,
nan, nan,3.009,12.17,46.84,,
nan, nan,2.985,12.13,41.19,,
nan, nan,3.033,12.15,44.02,,
nan, nan,3.041,12.15,44.02,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.033,12.15,43.45,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.985,12.16,44.58,,
nan, nan,3.001,12.17,45.71,,
nan, nan,2.985,12.16,44.58,,
nan, nan,3.05,12.12,40.62,,
nan, nan,3.058,12.17,45.71,,
nan, nan,3.05,12.15,44.02,,
nan, nan,3.041,12.12,40.62,,
nan, nan,2.985,12.17,46.84,,
nan, nan,3.001,12.15,44.02,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.033,12.12,40.06,,
nan, nan,3.033,12.13,41.75,,
nan, nan,3.033,12.13,41.75,,
nan, nan,2.977,12.15,44.02,,
nan, nan,2.993,12.17,46.84,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.993,12.17,46.84,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.985,12.17,45.71,,
nan, nan,3.05,12.15,43.45,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.033,12.15,44.02,,
nan, nan,2.985,12.15,44.02,,
nan, nan,3.001,12.18,47.41,,
nan, nan,2.993,12.14,42.32,,
nan, nan,3.041,12.17,46.84,,
nan, nan,2.977,12.16,44.58,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.025,12.15,44.02,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.033,12.13,41.19,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.993,12.15,43.45,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.985,12.16,44.58,,
nan, nan,3.05,12.12,40.06,,
nan, nan,3.041,12.12,40.62,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.033,12.08,34.97,,
nan, nan,3.033,12.14,42.32,,
nan, nan,2.977,12.17,45.71,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.985,12.16,44.58,,
nan, nan,2.985,12.15,44.02,,
nan, nan,3.025,12.14,42.32,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.025,12.13,41.19,,
nan, nan,3.025,12.14,42.89,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.985,12.15,44.02,,
nan, nan,3.009,12.16,44.58,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.009,12.13,41.19,,
nan, nan,3.017,12.12,40.62,,
nan, nan,3.017,12.15,43.45,,
nan, nan,2.993,12.17,45.71,,
nan, nan,3.001,12.17,45.71,,
nan, nan,2.985,12.16,45.15,,
nan, nan,3.001,12.19,49.1,,
nan, nan,3.001,12.15,44.02,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.025,12.13,41.19,,
nan, nan,3.041,12.15,44.02,,
nan, nan,3.001,12.18,47.97,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.001,12.16,45.15,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.025,12.12,40.06,,
nan, nan,3.025,12.13,41.75,,
nan, nan,2.969,12.16,45.15,,
nan, nan,2.985,12.16,44.58,,
nan, nan,2.969,12.16,45.15,,
nan, nan,2.993,12.17,46.84,,
nan, nan,3.033,12.13,41.75,,
nan, nan,3.025,12.14,42.32,,
nan, nan,3.041,12.12,40.06,,
nan, nan,3.041,12.14,42.89,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.977,12.17,45.71,,
nan, nan,2.993,12.17,45.71,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.001,12.17,45.71,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.033,12.15,44.02,,
nan, nan,3.025,12.15,43.45,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.025,12.15,44.02,,
nan, nan,2.977,12.16,45.15,,
nan, nan,2.977,12.15,43.45,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.009,12.15,43.45,,
nan, nan,3.025,12.15,44.02,,
nan, nan,3.017,12.14,42.32,,
nan, nan,2.985,12.15,44.02,,
nan, nan,3.001,12.15,44.02,,
nan, nan,2.977,12.17,45.71,,
nan, nan,2.977,12.17,45.71,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.033,12.11,38.36,,
nan, nan,3.033,12.12,40.62,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.033,12.13,41.75,,
nan, nan,3.009,12.15,43.45,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.985,12.16,45.15,,
nan, nan,2.985,12.15,44.02,,
nan, nan,3.001,12.15,43.45,,
nan, nan,3.033,12.15,44.02,,
nan, nan,3.033,12.12,40.62,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.025,12.12,40.62,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.985,12.16,44.58,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.977,12.15,44.02,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.025,12.11,38.36,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.025,12.14,42.89,,
nan, nan,2.993,12.15,44.02,,
nan, nan,3.025,12.15,43.45,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.041,12.12,40.06,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.025,12.15,43.45,,
nan, nan,2.985,12.17,46.28,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.977,12.15,44.02,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.993,12.17,46.84,,
nan, nan,3.041,12.14,42.32,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.017,12.14,42.32,,
nan, nan,3.017,12.13,41.75,,
nan, nan,2.977,12.17,46.84,,
nan, nan,2.977,12.16,44.58,,
nan, nan,2.993,12.15,43.45,,
nan, nan,3.05,12.19,49.1,,
nan, nan,2.977,12.16,44.58,,
nan, nan,3.041,12.16,44.58,,
nan, nan,3.025,12.12,40.06,,
nan, nan,3.033,12.12,40.62,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.025,12.15,43.45,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.977,12.17,45.71,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.985,12.17,46.84,,
nan, nan,3.017,12.14,42.89,,
nan, nan,3.025,12.12,40.06,,
nan, nan,3.017,12.13,41.19,,
nan, nan,3.025,12.12,40.62,,
nan, nan,3.05,12.12,40.62,,
nan, nan,2.985,12.17,46.84,,
nan, nan,3.001,12.14,42.89,,
nan, nan,2.985,12.16,44.58,,
nan, nan,2.969,12.16,44.58,,
nan, nan,2.977,12.15,44.02,,
nan, nan,2.985,12.16,44.58,,
nan, nan,3.033,12.12,40.62,,
nan, nan,3.033,12.11,38.93,,
nan, nan,3.017,12.11,38.36,,
nan, nan,2.985,12.16,45.15,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.977,12.15,44.02,,
nan, nan,2.993,12.16,45.15,,
nan, nan,2.985,12.11,38.93,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.033,12.15,43.45,,
nan, nan,3.041,12.12,40.06,,
nan, nan,3.025,12.13,41.75,,
nan, nan,2.985,12.16,45.15,,
nan, nan,2.993,12.17,46.84,,
nan, nan,2.977,12.17,45.71,,
nan, nan,2.993,12.17,45.71,,
nan, nan,2.977,12.16,44.58,,
nan, nan,3.025,12.11,38.93,,
nan, nan,3.017,12.14,42.89,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.025,12.12,40.06,,
nan, nan,2.977,12.17,46.28,,
nan, nan,3.001,12.15,43.45,,
nan, nan,3.033,12.14,42.32,,
nan, nan,3.041,12.12,40.62,,
nan, nan,3.033,12.15,44.02,,
nan, nan,3.017,12.13,41.75,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.985,12.17,46.28,,
nan, nan,2.977,12.15,44.02,,
nan, nan,2.969,12.17,46.28,,
nan, nan,3.025,12.11,38.93,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.05,12.12,39.49,,
nan, nan,3.033,12.13,41.19,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.017,12.13,41.75,,
nan, nan,2.985,12.17,46.28,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.033,12.13,41.75,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.025,12.13,41.19,,
nan, nan,3.025,12.11,38.36,,
nan, nan,3.009,12.15,43.45,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.969,12.17,46.28,,
nan, nan,2.977,12.16,45.15,,
nan, nan,2.993,12.15,43.45,,
nan, nan,3.041,12.14,42.89,,
nan, nan,3.025,12.15,44.02,,
nan, nan,3.033,12.12,40.62,,
nan, nan,3.025,12.14,42.32,,
nan, nan,3.033,12.14,42.32,,
nan, nan,2.985,12.17,46.84,,
nan, nan,2.977,12.17,46.28,,
nan, nan,2.993,12.17,46.84,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.033,12.12,40.06,,
nan, nan,3.033,12.12,40.62,,
nan, nan,3.017,12.15,43.45,,
nan, nan,3.017,12.14,42.32,,
nan, nan,3.025,12.16,44.58,,
nan, nan,3.001,12.14,42.89,,
nan, nan,2.985,12.14,42.89,,
nan, nan,2.969,12.15,44.02,,
nan, nan,2.977,12.16,44.58,,
nan, nan,2.977,12.11,38.93,,
nan, nan,3.009,12.14,42.32,,
nan, nan,3.025,12.15,43.45,,
nan, nan,3.025,12.14,42.32,,
nan, nan,3.025,12.15,44.02,,
nan, nan,2.985,12.17,45.71,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.977,12.15,43.45,,
nan, nan,2.985,12.15,43.45,,
nan, nan,2.993,12.15,44.02,,
nan, nan,3.025,12.12,40.06,,
nan, nan,3.025,12.14,42.32,,
nan, nan,3.033,12.13,41.75,,
nan, nan,3.017,12.11,38.93,,
nan, nan,2.977,12.17,45.71,,
nan, nan,2.993,12.16,44.58,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.033,12.14,42.89,,
nan, nan,3.017,12.14,42.32,,
nan, nan,3.017,12.11,38.93,,
nan, nan,2.985,12.16,44.58,,
nan, nan,2.977,12.15,44.02,,
nan, nan,2.985,12.15,44.02,,
nan, nan,2.969,12.15,44.02,,
nan, nan,2.993,12.15,44.02,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.009,12.12,40.06,,
nan, nan,3.009,12.12,40.06,,
nan, nan,2.985,12.15,43.45,,
nan, nan,2.993,12.16,45.15,,
nan, nan,3.025,12.14,42.32,,
nan, nan,3.001,12.14,42.32,,
nan, nan,2.985,12.16,45.15,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.025,12.14,42.32,,
nan, nan,3.033,12.12,40.62,,
nan, nan,3.041,12.13,41.19,,
nan, nan,3.017,12.15,43.45,,
nan, nan,2.993,12.14,42.89,,
nan, nan,2.993,12.16,44.58,,
nan, nan,2.985,12.14,42.89,,
nan, nan,2.977,12.15,43.45,,
nan, nan,3.025,12.13,41.75,,
nan, nan,3.025,12.14,42.89,,
nan, nan,3.033,12.13,41.19,,
nan, nan,3.017,12.16,44.58,,
nan, nan,3.033,12.14,42.89,,
nan, nan,2.977,12.16,45.15,,
nan, nan,2.969,12.14,42.89,,
nan, nan,3.001,12.15,44.02,,
nan, nan,2.985,12.17,46.84,,
nan, nan,2.977,12.15,44.02,,
nan, nan,3.05,12.14,42.32,,
nan, nan,3.041,12.15,43.45,,
nan, nan,3.041,12.12,40.62,,
nan, nan,3.033,12.12,40.06,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.993,12.15,44.02,,
nan, nan,3.001,12.15,44.02,,
nan, nan,2.993,12.15,44.02,,
nan, nan,2.985,12.11,38.36,,
nan, nan,3.033,12.13,41.75,,
